movieID,personID
76009,958
76009,657853
76054,625379
76095,6889
76257,484
76538,149548
76538,89940
76584,144758
76618,522028
76618,718627
76618,828245
76666,824
76723,1351
76729,624102
76752,318150
76759,184
76786,783
77269,769874
77280,711114
77305,865709
77355,341
77394,852279
77394,388198
77402,1681
77405,517
77416,1047
77572,357891
77631,459170
77651,118
77663,377750
77745,442241
77766,844358
77869,835
77928,570
77975,484
78087,1102
78158,396421
78163,1175
78346,1149
78446,4693
78480,742034
78480,399524
78718,422484
78748,631
78754,2080
78767,742341
78788,338
78841,797
78869,625379
78875,772522
78902,946811
78966,108745
79116,796923
79239,137573
79367,5348
79417,914
79470,1402
79501,4306
79540,718645
79574,318150
79588,292419
79638,728688
79641,1348
79714,181741
79833,594503
79944,1789
79945,936404
80120,1353
80179,950759
80310,915
80319,383359
80339,720
80339,1878
80339,958387
80360,1692
80365,1707
80388,1501
80391,207357
80453,459170
80455,484
80487,601
80491,972
80549,776
80678,186
80684,449984
80716,570
80745,388198
80749,118
80761,192446
80801,371059
80861,568546
80979,41
81207,82300
81283,602
81353,265
81375,956052
81398,217
81455,343
81505,40
81534,844358
81573,504513
81573,1149
81633,416
82010,484
82031,330619
82089,1410
82096,583
82136,624102
82158,399853
82186,204471
82198,587518
82269,894
82340,118
82348,958
82398,322515
82406,75859
82406,723704
82406,828245
82406,359457
82406,718627
82418,591171
82432,1837
82484,269
82495,742819
82509,693376
82509,116497
82509,354691
82509,844301
82509,613471
82509,625166
82533,1102
82694,4306
82766,675068
82846,41932
82869,1382
82934,706182
82949,491626
82971,229
83131,718645
83511,1353
83530,277946
83564,1379
83658,631
83722,1707
83767,1681
83833,1469
83866,229
83907,600
83922,5
83929,2132
83944,467646
83946,1348
83972,591171
83987,277
84021,83279
84237,60072
84237,710230
84296,4305
84370,907
84412,165
84434,431
84503,570
84516,1361
84522,163706
84589,897045
84649,89940
84707,1587
84726,583292
84745,127
84787,118
84805,1628
84827,513974
84855,1486
84865,1175
84917,1351
85244,1410
85333,118
85334,163706
85382,853546
85407,343
85549,1490
85636,908890
85701,1716
85750,23469
85794,217
85811,946811
85859,287025
85894,5348
85970,236769
85995,601
86005,50597
86006,449984
86034,322515
86066,338
86154,2207
86190,549658
86197,442241
86200,1887
86250,361
86312,1566
86336,2338
86393,504513
86423,915
86425,985
86465,484
86541,343
86567,824
86617,1837
86837,1382
86856,725379
86873,5348
86879,1232
86927,411477
86960,976
86969,570
86973,2045
86979,1054
86979,1053
87004,626
87050,452607
87078,281507
87175,747849
87182,186
87231,772259
87262,504495
87265,5190
87277,6889
87298,957263
87332,718645
87363,1102
87469,229
87538,814
87544,594503
87553,423646
87597,145309
87781,1469
87799,248054
87800,127
87803,705535
87843,1466
87884,694
87921,914
87928,933505
87985,587518
87995,7182
88000,437596
88011,709
88128,455
88146,422484
88161,165
88172,118
88184,464
88206,844358
